threshold,coverage,opposite_sign_rate,opposite_sign_errors,acted_patches
0.906668758392334,0.02079581644298998,0.42525710386508747,26175,61551
0.9100020170211792,0.02055424427102303,0.4240581234795187,25798,60836
0.9133352756500245,0.020322807994383362,0.4227693637678509,25430,60151
0.9166685342788696,0.020071099927089126,0.4215567451099216,25043,59406
0.9200017929077149,0.01981567536484155,0.4203921568627451,24656,58650
0.92333505153656,0.019567683792500654,0.41872712203881485,24251,57916
0.9266683101654053,0.019295703934551846,0.41715256255362365,23824,57111
0.9300015687942506,0.019030481340154566,0.4158115257607499,23421,56326
0.9333348274230957,0.01875579857678515,0.41435339470034044,23002,55513
0.936668086051941,0.0184844944451915,0.41306890879181135,22599,54710
0.9400013446807861,0.01818785057527963,0.4109823153514638,22124,53832
0.9433346033096314,0.01789086884219019,0.4091175193095764,21664,52953
0.9466678619384766,0.017582061897885585,0.4079824746824497,21231,52039
0.9500011205673218,0.017269876321805218,0.40577130000978184,20741,51115
0.953334379196167,0.01694181117637877,0.4037771218889598,20247,50144
0.9566676378250122,0.016602258682914733,0.40169722623578014,19739,49139
0.9600008964538574,0.016222162608141556,0.398758695380514,19146,48014
0.9633341550827027,0.01586064900813507,0.3960037491479209,18590,46944
0.9666674137115479,0.015466362679903695,0.39286104375559777,17984,45777
0.9700006723403931,0.015040992939335316,0.38923581472662744,17328,44518
0.9733339309692384,0.014587242691850537,0.3850839606253619,16626,43175
0.9766671895980835,0.014074028525112357,0.37951315536777414,15809,41656
0.9800004482269288,0.013536488209588693,0.37324347934606267,14954,40065
0.9833337068557739,0.013003340115373518,0.36677319614415255,14116,38487
0.9866669654846192,0.012356669993492756,0.3592814371257485,13140,36573
0.9900002241134644,0.01159242348581549,0.3473521611145114,11918,34311
0.9933334827423096,0.010696072475705948,0.33350180049276645,10558,31658
0.9966667413711549,0.009386176936243192,0.30837622835751055,8567,27781
1.0,0.0017372924590965944,0.14313496693893427,736,5142
