epoch,method,cohort,stat,value,n
18,C0,anomaly,p99,0.010105813322588865,12879552
18,C0,anomaly,p99.5,0.1758644305914626,12879552
18,C0,anomaly,p99.9,0.8364137760400385,12879552
18,C0,all,top_precision_0.001,0.46166388446756473,25759
18,C0,all,top_precision_0.005,0.20592254417839062,128796
18,C0,all,top_precision_0.01,0.12277991078880862,257591
18,C0,all,top_precision_0.02,0.06819337632137769,515182
18,C0,all,top_precision_0.05,0.028091043553540303,1287955
18,C05,normal,p10,2.5005120196652797e-09,12879552
18,C05,normal,p50,2.782672980927714e-09,12879552
18,C05,normal,p90,5.791265245136401e-09,12879552
18,C05,normal,p95,9.97447102690785e-09,12879552
18,C05,normal,p99,1.8427087411510001e-07,12879552
18,C05,normal,p99.5,4.5245294145956623e-07,12879552
18,C05,normal,p99.9,2.1487411031557117e-06,12879552
18,C05,anomaly,p10,3.0482858459635054e-09,12879552
18,C05,anomaly,p50,1.058978815748901e-08,12879552
18,C05,anomaly,p90,8.733148888495634e-07,12879552
18,C05,anomaly,p95,1.0699381118683952e-05,12879552
18,C05,anomaly,p99,0.01016161671839664,12879552
18,C05,anomaly,p99.5,0.17666862957179372,12879552
18,C05,anomaly,p99.9,0.8366285723447675,12879552
18,C05,all,top_precision_0.001,0.4617803486160177,25759
18,C05,all,top_precision_0.005,0.20586043044815056,128796
18,C05,all,top_precision_0.01,0.12276050017275449,257591
18,C05,all,top_precision_0.02,0.06819725844458852,515182
18,C05,all,top_precision_0.05,0.028091819978182466,1287955
20,P0,normal,p10,2.5271273962346186e-09,12879552
20,P0,normal,p50,2.74675726608109e-09,12879552
20,P0,normal,p90,5.694131655076266e-09,12879552
20,P0,normal,p95,8.410601104458237e-09,12879552
20,P0,normal,p99,2.386060947046078e-08,12879552
20,P0,normal,p99.5,3.648731169647573e-08,12879552
20,P0,normal,p99.9,9.518465728319693e-08,12879552
20,P0,anomaly,p10,3.1175397818827832e-09,12879552
20,P0,anomaly,p50,7.0561703147120625e-09,12879552
20,P0,anomaly,p90,1.52493726091052e-07,12879552
20,P0,anomaly,p95,1.629281285886459e-06,12879552
