class,candidate,matched_pairs_n,matched_pair_win_rate,spearman_vs_C_AP,spearman_vs_R_pos,triage_budget_k,triage_actual_fraction,selected_positive_count,selected_positive_fraction,positive_C_AP_mass_capture,positive_R_pos_mass_capture,negative_R_neg_mass_capture,oracle_triage_delta_AP,oracle_triage_delta_AP_pp,fraction_A1_positive_oracle_recovered,extreme_C_AP_recall_top1pct,extreme_C_AP_recall_top5pct,extreme_C_AP_recall_top10pct,shifted_matched_pair_win_rate,shifted_positive_C_AP_capture,corr_D_rank,corr_D_logit,corr_G_rescue
macaroni1,E_xstage,1233,0.6447688564476886,-0.5160058817515056,-0.5159861134391355,1073296,0.02,366,0.00034100564988595876,0.02355079382193391,0.04593606058347227,0.0801970572764049,0.034837393540099404,3.4837393540099404,0.332805246846204,0.0,0.0,0.01648634724368882,0.2035685320356853,0.004369841164353888,-0.1263295790440321,0.951602991191476,-0.10565641193147733
macaroni1,E_global,1233,0.22303325223033252,-0.4445599680093907,-0.44452157087933997,1073296,0.02,63,5.869769383282897e-05,0.0038339845127276996,0.0007935085329478622,0.06513482884237153,0.006491831329552056,0.6491831329552056,0.062017140450781494,0.0,0.0,0.0,0.24006488240064883,0.0020405745279039184,0.016521603871803216,0.125176032724034,-0.05286229158066045
macaroni2,E_local,2808,0.3344017094017094,-0.4494362560307924,-0.4494784135144355,1073296,0.02,179,0.0001667759872393077,0.012424753236407515,0.005309731426013575,0.06352087866042315,0.02155533330671615,2.1555333306716147,0.08507189007924842,0.0,0.0,0.0,0.1915954415954416,0.000883805051863877,-0.0027490264042883974,0.16428790885094058,-0.2990311307250619
macaroni2,E_multistage,2808,0.813034188034188,-0.33318983111008305,-0.3330718581212274,1073296,0.02,1866,0.001738569788762839,0.13056200685442976,0.28913039561391596,0.05687127275074874,0.17615666159385218,17.615666159385217,0.6952330515422959,0.0,0.1377551020408163,0.26483726866624124,0.3041310541310541,0.008461184892766836,0.017343946372389847,0.8245103047284138,-0.0854413107871496
macaroni2,E_xstage,2808,0.707977207977208,-0.560068983806481,-0.5599824884198654,1073296,0.02,426,0.00039690821544103395,0.029717378201134566,0.043307119518162004,0.07232974630496011,0.04712601852082059,4.7126018520820585,0.18599106821636252,0.0,0.0,0.003190810465858328,0.20334757834757836,0.000732846148315174,-0.007413107029676138,0.9725022787387346,0.05159262175940724
macaroni2,E_global,2808,0.26175213675213677,-0.4933529532609865,-0.4933858194375048,1073296,0.02,224,0.0002087029114056141,0.015565695076641945,0.010708390805097473,0.06479439541625502,0.02639805895958286,2.639805895958286,0.1041845532221686,0.0,0.0,0.0,0.20619658119658119,0.00027035605297467366,0.05453687535196119,0.03601377630882013,-0.3947928312255662
pcb1,E_local,53076,0.42049137086442084,-0.3265159694094574,-0.45143513310415423,1073296,0.02,1441,0.0013425932827477228,0.0068322835935864705,0.002448577409634873,0.04668343015229885,0.00934304758414084,0.934304758414084,0.035275622885110505,0.0,0.0,0.00032002560204816386,0.36647448941141003,0.00273406745859028,-0.15110790851101188,0.18051512059571947,0.12307238218678003
pcb1,E_multistage,53076,0.4097520536589042,-0.44890087555470715,-0.794209330648517,1073296,0.02,7857,0.0073204409594370985,0.037071909463054824,0.025001629184752544,0.04130097960417392,0.04496710516923508,4.496710516923508,0.16977786208405637,0.0,0.0036802944235538844,0.013521081686534923,0.34326249152159166,0.0033223979161926096,0.022966396253626627,0.6985809187007589,-0.19060846935052303
pcb1,E_xstage,53076,0.46433416233325797,-0.4500330664542719,-0.8764974888501916,1073296,0.02,4287,0.003994238308910124,0.019281535669953036,0.0063837485812186226,0.053048882957672766,0.024846770108030075,2.4846770108030074,0.09381149826654815,0.0,0.0,0.00012000960076806145,0.35539603587308766,0.0016254995379855175,0.1317399820041088,0.9678831186633411,-0.14028588013274126
pcb1,E_global,53076,0.4323988243273796,-0.29528244157184247,-0.4916493245857173,1073296,0.02,1123,0.0010463096853058243,0.00499984670246931,0.0017660695822033386,0.04720996117464873,0.00708570300583114,0.708570300583114,0.026752789692933814,0.0,0.0,8.000640051204096e-05,0.35867435375687695,0.001599090466965334,0.18826818129315426,0.24489916952589924,0.23053439616337493
