arm,category,component,count,max,mean,min,stage,std
A,candle,routing_l1,18,0.09598276019096375,0.09119653701782227,0.08772656321525574,3,0.00316546275280416
A,candle,gap_ss2d_l1,18,1.8817155361175537,1.8580992221832275,1.8404009342193604,3,0.01601378619670868
H,candle,gap_normal,54,0.5601572394371033,0.3333333432674408,0.09473419189453125,1,0.1897229552268982
H,candle,gap_abnormal,54,0.5611431002616882,0.3333333432674408,0.04448574781417847,1,0.21496693789958954
H,candle,ss2d_normal,54,0.9999994039535522,0.3333333432674408,1.9458189816309848e-23,1,0.4714040756225586
H,candle,ss2d_abnormal,54,0.9999666213989258,0.3333333432674408,4.271890101604184e-33,1,0.4713808596134186
H,candle,final_normal,54,0.6041414737701416,0.3333333432674408,0.085260771214962,1,0.21200735867023468
H,candle,final_abnormal,54,0.6050254702568054,0.3333333730697632,0.04003717377781868,1,0.23084764182567596
H,candle,entropy_normal,18,0.8805131316184998,0.878508448600769,0.8775392174720764,1,0.0006677952478639781
H,candle,entropy_abnormal,18,0.8034497499465942,0.8014599084854126,0.8005026578903198,1,0.0006617324543185532
H,candle,routing_l1,18,0.0911300778388977,0.090670645236969,0.09044712781906128,1,0.0001535051123937592
H,candle,gap_ss2d_l1,18,0.8838098645210266,0.8810283541679382,0.879684329032898,1,0.0009260484366677701
H,candle,gap_normal,54,0.6756389737129211,0.3333333432674408,0.03986721485853195,2,0.2579958736896515
H,candle,gap_abnormal,54,0.6963851451873779,0.3333333432674408,0.019039921462535858,2,0.27534011006355286
H,candle,ss2d_normal,54,1.0,0.3333333432674408,2.3469327869567573e-34,2,0.471404492855072
H,candle,ss2d_abnormal,54,1.0,0.3333333432674408,1.4993893568275543e-43,2,0.471404492855072
H,candle,final_normal,54,0.6080750823020935,0.3333333432674408,0.1358805000782013,2,0.19669105112552643
H,candle,final_abnormal,54,0.6267465949058533,0.3333333432674408,0.1171359270811081,2,0.2118375301361084
H,candle,entropy_normal,18,0.9537883996963501,0.9287070035934448,0.9225418567657471,2,0.007032403256744146
H,candle,entropy_abnormal,18,0.9220841526985168,0.8985827565193176,0.8928751945495605,2,0.006568112876266241
H,candle,routing_l1,18,0.04599595069885254,0.03914903849363327,0.037489041686058044,2,0.0019131200388073921
H,candle,gap_ss2d_l1,18,1.920265555381775,1.91499924659729,1.8916480541229248,2,0.006414312869310379
H,candle,gap_normal,54,0.5696998238563538,0.3333333432674408,0.08379432559013367,3,0.17997673153877258
H,candle,gap_abnormal,54,0.5631316900253296,0.333333283662796,0.045744482427835464,3,0.19985972344875336
H,candle,ss2d_normal,54,1.0,0.3333333432674408,7.033109122020561e-25,3,0.47109705209732056
H,candle,ss2d_abnormal,54,1.0,0.3333333432674408,2.2755084461367497e-32,3,0.46995222568511963
H,candle,final_normal,54,0.6127063035964966,0.3333333432674408,0.07541488856077194,3,0.19678530097007751
H,candle,final_abnormal,54,0.6066075563430786,0.3333333432674408,0.04117003455758095,3,0.2108435034751892
H,candle,entropy_normal,18,1.0921151638031006,0.9085001349449158,0.8584575057029724,3,0.057359013706445694
H,candle,entropy_abnormal,18,1.084041714668274,0.8569847345352173,0.8021025061607361,3,0.06966617703437805
H,candle,routing_l1,18,0.08391295373439789,0.07694732397794724,0.0691651701927185,3,0.003027598839253187
H,candle,gap_ss2d_l1,18,1.8064905405044556,0.9900023937225342,0.847421407699585,3,0.2514900863170624
A,candle,gap_normal,54,0.5738692879676819,0.3333333432674408,0.06975965201854706,1,0.20600619912147522
A,candle,gap_abnormal,54,0.5392366647720337,0.3333333432674408,0.035484232008457184,1,0.215425044298172
A,candle,ss2d_normal,54,1.0,0.3333333432674408,5.607543591838472e-24,1,0.471404492855072
A,candle,ss2d_abnormal,54,1.0,0.3333333432674408,9.129380014926788e-31,1,0.471404492855072
A,candle,final_normal,54,0.5164823532104492,0.3333333432674408,0.162783682346344,1,0.14425721764564514
A,candle,final_abnormal,54,0.4853129982948303,0.3333333432674408,0.13193580508232117,1,0.1481931209564209
A,candle,entropy_normal,18,1.0028462409973145,1.002030372619629,1.0014742612838745,1,0.00033005198929458857
A,candle,entropy_abnormal,18,0.9866442680358887,0.9860661625862122,0.9856733083724976,1,0.00023340321786236018
A,candle,routing_l1,18,0.12403446435928345,0.12377362698316574,0.12338881194591522,1,0.0001554568880237639
A,candle,gap_ss2d_l1,18,1.8604806661605835,1.859576940536499,1.8582448959350586,1,0.0005374010652303696
A,candle,gap_normal,54,0.5519789457321167,0.3333333432674408,0.08147034794092178,2,0.19029511511325836
A,candle,gap_abnormal,54,0.5376042723655701,0.333333283662796,0.05524458363652229,2,0.20114967226982117
A,candle,ss2d_normal,54,0.9999971389770508,0.3333333432674408,1.4508389264410681e-26,2,0.47140246629714966
A,candle,ss2d_abnormal,54,0.999821126461029,0.3333333432674408,1.655881158634695e-31,2,0.4712778925895691
A,candle,final_normal,54,0.5967807769775391,0.3333333730697632,0.0733233094215393,2,0.21070484817028046
A,candle,final_abnormal,54,0.583825945854187,0.3333333432674408,0.049720123410224915,2,0.21688131988048553
A,candle,entropy_normal,18,0.9059058427810669,0.8726896643638611,0.8654935956001282,2,0.009508047252893448
A,candle,entropy_abnormal,18,0.8715074062347412,0.8383148908615112,0.8312913179397583,2,0.009433858096599579
A,candle,routing_l1,18,0.0731159895658493,0.07201259583234787,0.06686173379421234,2,0.001465755281969905
A,candle,gap_ss2d_l1,18,0.9484383463859558,0.9052457809448242,0.8960363864898682,2,0.012300499714910984
A,candle,gap_normal,54,0.5777984857559204,0.3333333432674408,0.05982936918735504,3,0.20129090547561646
A,candle,gap_abnormal,54,0.5516160130500793,0.3333333432674408,0.03281809017062187,3,0.21194183826446533
A,candle,ss2d_normal,54,1.0,0.3333333432674408,1.8076545239939393e-29,3,0.471404492855072
A,candle,ss2d_abnormal,54,1.0,0.3333333432674408,1.6145589611226263e-36,3,0.471404492855072
A,candle,final_normal,54,0.5200186371803284,0.3333333432674408,0.15384642779827118,3,0.13912947475910187
A,candle,final_abnormal,54,0.4964543879032135,0.3333333432674408,0.12953628599643707,3,0.14539779722690582
A,candle,entropy_normal,18,1.0219006538391113,1.0076887607574463,0.9934210777282715,3,0.0103573864325881
A,candle,entropy_abnormal,18,1.0028904676437378,0.9915211200714111,0.9802231192588806,3,0.00828694086521864
A,candle,routing_l1,18,0.09574875235557556,0.09087476134300232,0.08659100532531738,3,0.0034878889564424753
A,candle,gap_ss2d_l1,18,1.8803412914276123,1.8561606407165527,1.8303616046905518,3,0.017915409058332443
H,candle,gap_normal,54,0.5603780746459961,0.3333333432674408,0.09457371383905411,1,0.18983052670955658
H,candle,gap_abnormal,54,0.5613101124763489,0.3333333432674408,0.044365961104631424,1,0.2150423377752304
H,candle,ss2d_normal,54,0.9999994039535522,0.3333333432674408,1.9451658048014618e-23,1,0.4714040756225586
H,candle,ss2d_abnormal,54,0.9999666213989258,0.3333333432674408,4.269837027252076e-33,1,0.4713808596134186
H,candle,final_normal,54,0.6043401956558228,0.3333333432674408,0.08511634171009064,1,0.21210719645023346
H,candle,final_abnormal,54,0.605175793170929,0.3333333432674408,0.03992936387658119,1,0.23091958463191986
H,candle,entropy_normal,18,0.8794180154800415,0.8782857060432434,0.8772201538085938,1,0.0005852925824001431
H,candle,entropy_abnormal,18,0.8023594617843628,0.8012400269508362,0.8001870512962341,1,0.0005789094720967114
H,candle,routing_l1,18,0.09088043868541718,0.090619295835495,0.0903739482164383,1,0.00013509053678717464
H,candle,gap_ss2d_l1,18,0.8822896480560303,0.8807191252708435,0.8792426586151123,1,0.0008108456386253238
H,candle,gap_normal,54,0.6747705936431885,0.333333283662796,0.04022176191210747,2,0.25882792472839355
H,candle,gap_abnormal,54,0.6955776214599609,0.3333333432674408,0.01926415041089058,2,0.2760644853115082
H,candle,ss2d_normal,54,1.0,0.3333333432674408,2.3485268215813197e-34,2,0.471404492855072
H,candle,ss2d_abnormal,54,1.0,0.3333333432674408,1.4993893568275543e-43,2,0.471404492855072
H,candle,final_normal,54,0.6072935461997986,0.33333325386047363,0.13619959354400635,2,0.19748058915138245
H,candle,final_abnormal,54,0.6260198354721069,0.333333283662796,0.11733773350715637,2,0.212540864944458
H,candle,entropy_normal,18,0.9393733739852905,0.9273834228515625,0.9234187602996826,2,0.003991968929767609
H,candle,entropy_abnormal,18,0.908460259437561,0.8973420262336731,0.8936824202537537,2,0.003694315208122134
H,candle,routing_l1,18,0.04202718287706375,0.038788050413131714,0.03772372007369995,2,0.0010753371752798557
H,candle,gap_ss2d_l1,18,1.9195563793182373,1.9162355661392212,1.905758023262024,2,0.0034328107722103596
H,candle,gap_normal,54,0.5680379867553711,0.3333333432674408,0.08491107076406479,3,0.18285788595676422
H,candle,gap_abnormal,54,0.5619116425514221,0.3333333432674408,0.046697087585926056,3,0.20300590991973877
H,candle,ss2d_normal,54,1.0,0.3333333432674408,2.061933311536638e-23,3,0.47127765417099
H,candle,ss2d_abnormal,54,1.0,0.3333333432674408,1.7847476185596913e-30,3,0.47051894664764404
H,candle,final_normal,54,0.6112292408943176,0.33333325386047363,0.07641996443271637,3,0.20163017511367798
H,candle,final_abnormal,54,0.605652928352356,0.3333333730697632,0.04202737659215927,3,0.2161150574684143
H,candle,entropy_normal,18,1.0324552059173584,0.8990583419799805,0.8608729243278503,3,0.03669757768511772
