transform,n,l1,rmse,pearson,spearman,top1_overlap,feature_cosine,routing_abnormal_l1,routing_raw_score_l1,routing_entropy_abs_delta,gap_ss2d_disagreement_abs_delta,margin_abs_delta,stage_margin_rank_preserved,anomalous_pixel_ap_delta,record_type,stage,linear_CKA,clean_effective_rank,perturbed_effective_rank,effective_rank_ratio,index,category,label,clean_margin,perturbed_margin,clean_pixel_ap,perturbed_pixel_ap,pixel_ap_delta,setting,pixel_auroc,pixel_ap
saturation,,9.357098316348356e-06,0.00025345175822650065,0.9996453456895801,0.9943851796165667,0.9944092433842714,0.999983012676239,0.0007569432879487673,0.0015663504600524902,0.001065144936243693,0.0008410364389419556,3.39051087697347e-05,1.0,,,,,,,,0,candle,1,-1.011217753092448,-1.0112046897411346,0.8371158566584326,0.8297339012079212,-0.007381955450511346,,,
saturation,,2.7336514901539645e-06,6.222745856269504e-05,0.9984077053151715,0.9923642550430574,0.9809914275065226,0.9999632835388184,0.0007797572761774063,0.0053195953369140625,0.0011663337548573811,0.000866385797659556,0.00046517451604207355,1.0,,,,,,,,1,candle,1,-1.0090133150418599,-1.0093940099080403,0.6083958137002626,0.5840672461650159,-0.024328567535246703,,,
saturation,,1.4044602435634662e-07,2.5485483011782704e-06,0.9932828939074064,0.9933297909829845,0.9757733879985091,0.9999433755874634,0.0012417052251597245,0.007031877835591634,0.0017786721388498943,0.0013796960314114888,0.00034051140149434406,1.0,,,,,,,,2,candle,1,-1.01030628879865,-1.0106468002001445,0.562022013237768,0.5647570117955978,0.002734998557829771,,,
saturation,,1.709560376118481e-06,4.054004539382001e-05,0.9997991568694274,0.9923034892128051,0.9959001118151323,0.9999608397483826,0.0009058546274900436,0.0020038684209187827,0.0012871225674947102,0.0010061835249265034,0.00036270419756571454,1.0,,,,,,,,3,candle,1,-1.0122383137543995,-1.0119097630182903,0.24731700167458026,0.2482932258459281,0.0009762241713478503,,,
gaussian_blur,,6.285596804866676e-10,1.084726018089897e-09,0.9007897191721977,0.930376390758635,0.5333581811405144,0.9994727373123169,0.002217934001237154,0.0148774782816569,0.0032133162021636963,0.0024643341700236,0.0019555787245432534,1.0,,,,,,,,4,candle,0,-1.0099693636099498,-1.0084116260210674,,,,,,
gaussian_blur,,7.386488625471958e-10,1.8806865553117322e-09,0.7618647044670582,0.895008848018166,0.5057771151695862,0.9992737770080566,0.0021606654239197574,0.01353295644124349,0.003138929605484009,0.002400726079940796,0.00190200408299764,1.0,,,,,,,,5,candle,0,-1.0077207485834758,-1.006217857201894,,,,,,
gaussian_blur,,1.3132760331477656e-09,5.783101194257089e-09,0.655401942507183,0.8926228696652305,0.5657845695117406,0.9995245933532715,0.0038838034185270467,0.018155256907145183,0.005594606200853984,0.004315311710039775,0.0012638966242472331,1.0,,,,,,,,9,candle,0,-1.0082555611928303,-1.009326656659444,,,,,,
gaussian_blur,,1.117544104239588e-09,5.112618402875478e-09,0.7814425276222183,0.8675818742034482,0.5601938128960119,0.9994842410087585,0.0027064677948753038,0.013503591219584147,0.003889605402946472,0.003007190922896067,0.0014084080855051677,1.0,,,,,,,,10,candle,0,-1.0086678862571716,-1.0075627466042836,,,,,,
gaussian_blur,,8.261002864539156e-05,0.0021144190183844903,0.9960313132915989,0.9365533703966327,0.9750279537830786,0.9994840621948242,0.002129803877323866,0.012092351913452148,0.003031119704246521,0.0023664658268292746,0.0014628171920776367,1.0,,,,,,,,0,candle,1,-1.011217753092448,-1.0103201468785603,0.8371158566584326,0.8395487576202285,0.0024329009617959363,,,
gaussian_blur,,6.487051680055554e-06,0.00015061978005354517,0.9922888421209374,0.9320844554623462,0.9757733879985091,0.9993267059326172,0.002120112689832846,0.015320777893066406,0.0030930538972218833,0.002355709671974182,0.001410841941833496,1.0,,,,,,,,1,candle,1,-1.0090133150418599,-1.008104423681895,0.6083958137002626,0.6173250093202861,0.008929195620023478,,,
gaussian_blur,,3.284466196772981e-06,7.972719750669258e-05,0.9839010175543209,0.9540647216341062,0.9284383153186732,0.9991916418075562,0.0035056819518407187,0.020688374837239582,0.005024741093317668,0.0038952107230822244,0.0010466972986857097,1.0,,,,,,,,2,candle,1,-1.01030628879865,-1.009939322868983,0.562022013237768,0.5255198438637293,-0.03650216937403872,,,
gaussian_blur,,7.0216941393150565e-06,0.00016547722211500974,0.9550119485784113,0.9323060926119745,0.9563920983973164,0.9985681772232056,0.004434602490315835,0.02262401580810547,0.006351550420125325,0.004927334686120351,0.0035402377446492514,1.0,,,,,,,,3,candle,1,-1.0122383137543995,-1.0093952119350433,0.24731700167458026,0.20017239578252466,-0.0471446058920556,,,
gaussian_noise,,9.822956655928695e-10,2.365010145964917e-09,0.6333452709827392,0.8558729505728088,0.079388743943347,0.9996298551559448,0.0042704069055616856,0.010294675827026367,0.006151854991912842,0.004744922121365865,0.0016418596108754475,1.0,,,,,,,,4,candle,0,-1.0099693636099498,-1.0108878016471863,,,,,,
gaussian_noise,,8.4666272617046e-10,2.6620641175710246e-09,0.344016119736769,0.8199077794132585,0.0,0.999435305595398,0.004080319001028935,0.016996383666992188,0.005982806285222371,0.004533678293228149,0.002800673246383667,1.0,,,,,,,,5,candle,0,-1.0077207485834758,-1.00953808426857,,,,,,
gaussian_noise,,1.073812554139707e-09,3.152585958982654e-09,0.4234177593140038,0.8023264142709783,0.03056280283265002,0.9994972944259644,0.00464414448166887,0.013416290283203125,0.006735747059186299,0.005160172780354817,0.0024722119172414145,1.0,,,,,,,,9,candle,0,-1.0082555611928303,-1.0100608170032501,,,,,,
gaussian_noise,,6.621352822367251e-10,1.757572068107538e-09,0.7378867676646576,0.8383949227140021,0.5020499440924339,0.9996780157089233,0.002945183931539456,0.00962670644124349,0.004252950350443522,0.0032724017898241677,0.0008474687735239664,1.0,,,,,,,,10,candle,0,-1.0086678862571716,-1.0087644755840302,,,,,,
gaussian_noise,,0.00018131301523706205,0.004853097561381233,0.9887921541983176,0.8908701054109405,0.9817368617219531,0.9994772672653198,0.0049411832975844545,0.010152816772460938,0.007096181313196818,0.005490216116110484,0.0010335842768351238,1.0,,,,,,,,0,candle,1,-1.011217753092448,-1.011710524559021,0.8371158566584326,0.8518347438576992,0.014718887199266617,,,
gaussian_noise,,6.679221895664836e-06,0.00015415557145581738,0.9176104847539732,0.8882548040380845,0.9161386507640701,0.9994434118270874,0.005084076120207707,0.012578169504801432,0.007316604256629944,0.005648985505104065,0.0025569101174672446,1.0,,,,,,,,1,candle,1,-1.0090133150418599,-1.0107929209868114,0.6083958137002626,0.4906848062678526,-0.11771100743241003,,,
gaussian_noise,,3.5971608116146705e-07,8.128493586904355e-06,0.942152093835045,0.920640651339642,0.9269474468878122,0.9992849230766296,0.005849322148909171,0.013746102650960287,0.008365124464035034,0.006499250729878743,0.001938849687576294,1.0,,,,,,,,2,candle,1,-1.01030628879865,-1.0112618406613667,0.562022013237768,0.5873907359321191,0.025368722694351087,,,
gaussian_noise,,6.190211186076578e-06,0.00014183314889810008,0.9978828534466674,0.8741010825661593,0.9541557957510249,0.9997978210449219,0.0027106997246543565,0.00762176513671875,0.004009147485097249,0.0030118748545646667,0.0005745887756347656,1.0,,,,,,,,3,candle,1,-1.0122383137543995,-1.0116637249787648,0.24731700167458026,0.24155466647582052,-0.005762335198759738,,,
jpeg,,7.11900205917378e-10,1.3899013372112134e-09,0.8515772261130391,0.9199634630209694,0.3708535221766679,0.9995259046554565,0.0016621093576153119,0.010400176048278809,0.00240899125734965,0.0018467927972475688,0.001566996177037557,1.0,,,,,,,,4,candle,0,-1.0099693636099498,-1.0112141768137615,,,,,,
jpeg,,5.516350086727877e-10,1.1788639259375416e-09,0.9219337778175591,0.8606089251780343,0.9004845322400298,0.9995936155319214,0.0014524535896877448,0.008153438568115234,0.0021535654862721763,0.0016138205925623577,0.00191920002301534,1.0,,,,,,,,5,candle,0,-1.0077207485834758,-1.0094747245311737,,,,,,
jpeg,,6.629177709712497e-10,1.6095788487306347e-09,0.965015369355171,0.9085767071027407,0.871785314945956,0.9996128082275391,0.0018894725168744724,0.009943167368570963,0.0027688046296437583,0.002099404732386271,0.0014264484246571858,1.0,,,,,,,,9,candle,0,-1.0082555611928303,-1.0095784564812977,,,,,,
jpeg,,6.708475408924875e-10,1.879673489421093e-09,0.8609747577268314,0.8402013277641238,0.5784569511740589,0.9997755289077759,0.0011173570528626442,0.00781315565109253,0.0016252001126607258,0.001241527497768402,0.0011200010776519775,1.0,,,,,,,,10,candle,0,-1.0086678862571716,-1.0095942914485931,,,,,,
jpeg,,6.272252208772418e-05,0.0014415144486353661,0.9706085187330865,0.9333558137963579,0.9340290719344018,0.9997305870056152,0.00047736552854379016,0.005946715672810872,0.0007281551758448283,0.0005303894480069479,0.00046267112096150714,1.0,,,,,,,,0,candle,1,-1.011217753092448,-1.0116804242134094,0.8371158566584326,0.905488574275471,0.06837271761703845,,,
jpeg,,5.284076268361253e-06,0.0001226351081752582,0.9819630661738803,0.9030499988736701,0.9459560193812896,0.999513566493988,0.0018592458218336105,0.008652369181315104,0.002697030703226725,0.0020658522844314575,0.0012884239355723064,1.0,,,,,,,,1,candle,1,-1.0090133150418599,-1.0102467437585194,0.6083958137002626,0.5483912656434946,-0.060004548056768026,,,
jpeg,,9.506295611909374e-07,2.2099347452158085e-05,0.9689154036813482,0.9336921139269146,0.9232202758106597,0.9996759295463562,0.002227845136076212,0.01208194096883138,0.0031986385583877563,0.0024753957986831665,0.0005994836489359537,1.0,,,,,,,,2,candle,1,-1.01030628879865,-1.010905772447586,0.562022013237768,0.4984620446820844,-0.06355996855568363,,,
jpeg,,5.820102794647542e-06,0.00013432779398398672,0.9992846688695373,0.9262663956617455,0.9541557957510249,0.9997702836990356,0.0012764132892092068,0.005354245503743489,0.0019368976354599,0.0014182205001513164,0.00039961934089660645,1.0,,,,,,,,3,candle,1,-1.0122383137543995,-1.011921723683675,0.24731700167458026,0.2449668853567463,-0.002350116317833967,,,
resize_cycle,,4.834890095687372e-10,9.156561675520898e-10,0.9390252375888225,0.9521175838774024,0.6634364517331346,0.9998518824577332,0.0017064992959300678,0.00865409771601359,0.0024318844079971313,0.001895780364672343,0.0005476574103037516,1.0,,,,,,,,4,candle,0,-1.0099693636099498,-1.009556492169698,,,,,,
resize_cycle,,5.762679519928496e-10,1.1141739220159862e-09,0.9651313127276926,0.9555172880200445,0.9213566902720834,0.9997519850730896,0.0027459819490710893,0.007745027542114258,0.003945827484130859,0.0030510773261388144,0.0005570749441782633,1.0,,,,,,,,5,candle,0,-1.0077207485834758,-1.008107413848241,,,,,,
resize_cycle,,7.561271870217591e-10,2.0426339160944e-09,0.982565195818764,0.9527077853163749,0.9396198285501305,0.9995672106742859,0.004109200090169907,0.016042073567708332,0.0059020618597666425,0.004565770427385966,0.0013870497544606526,1.0,,,,,,,,9,candle,0,-1.0082555611928303,-1.0094617108503978,,,,,,
resize_cycle,,7.269904109777141e-10,2.822583619033842e-09,0.9284966675473936,0.9233602554070778,0.8430860976518822,0.9997848272323608,0.0028761359862983227,0.008802652359008789,0.004166170954704285,0.003195705513159434,0.000705579916636149,1.0,,,,,,,,10,candle,0,-1.0086678862571716,-1.009223222732544,,,,,,
