cohort,stage,point,resolution,image_count,target_count_total,context_count_total,baseline_mean,baseline_median,baseline_p95,control_a_mean,control_a_median,control_a_p95,candidate_mean,candidate_median,candidate_p95,candidate_minus_control_mean,candidate_minus_control_median,candidate_minus_control_p95,candidate_minus_baseline_mean,candidate_minus_baseline_median,candidate_minus_baseline_p95,control_minus_baseline_mean,control_minus_baseline_median,control_minus_baseline_p95
B,1,stage_map_post_resize,full,44,3229,653,-16.72368509119207,-16.80527687072754,-14.74044246673584,-16.723811973224986,-16.804944038391113,-14.740481805801391,-17.78260402245955,-18.028021812438965,-16.159236717224122,-1.0587920492345637,-1.0808086395263672,-0.28093070983886714,-1.0589189312674783,-1.0804357528686523,-0.2810498237609863,-0.00012688203291459516,-5.14984130859375e-05,0.0004905700683593751
B,1,final_fusion,full,44,3229,653,-16.752473376014017,-16.702298164367676,-14.726037311553954,-16.752515164288607,-16.702342987060547,-14.726100730895995,-17.1054462519559,-17.115975379943848,-15.139422369003295,-0.3529310876672918,-0.36027097702026367,-0.09364385604858397,-0.3529728759418834,-0.36014556884765625,-0.09368410110473631,-4.178827459161932e-05,-1.6689300537109375e-05,0.00016455650329589848
B,2,pre_lora,native,44,3229,653,-17.937548182227395,-18.233522415161133,-15.741498136520384,-17.937492327256635,-18.233806610107422,-15.741428041458128,-17.937492327256635,-18.233806610107422,-15.741428041458128,0.0,0.0,0.0,5.585497075861151e-05,0.0,0.0004916191101074219,5.585497075861151e-05,0.0,0.0004916191101074219
B,2,convlora_output,native,44,3229,653,-17.40281423655423,-17.824246406555176,-13.616819190979003,-17.40287585691972,-17.823948860168457,-13.616587924957274,-18.27838863026012,-18.609801292419434,-16.639642906188964,-0.8755127733403986,-0.5764732360839844,-0.00031938552856445305,-0.8755743937058882,-0.5767316818237305,-0.0004487991333007804,-6.162036548961292e-05,-1.239776611328125e-05,0.0005498409271240236
B,2,post_seg_projection,native,44,3229,653,-17.40281423655423,-17.824246406555176,-13.616819190979003,-17.40287585691972,-17.823948860168457,-13.616587924957274,-18.27838863026012,-18.609801292419434,-16.639642906188964,-0.8755127733403986,-0.5764732360839844,-0.00031938552856445305,-0.8755743937058882,-0.5767316818237305,-0.0004487991333007804,-6.162036548961292e-05,-1.239776611328125e-05,0.0005498409271240236
B,2,dfg_qk_compatibility,native,44,3229,653,27.420454545454547,27.828125,28.8515625,27.420454545454547,27.828125,28.8515625,27.433948863636363,27.828125,28.8671875,0.013494318181818182,0.0078125,0.046875,0.013494318181818182,0.0078125,0.046875,0.0,0.0,0.0
B,2,ss2d_input,native,44,3229,653,-18.92769934914329,-18.87743854522705,-18.75841054916382,-18.927702730352227,-18.877432823181152,-18.758398246765136,-18.932491649280895,-18.875289916992188,-18.764123916625977,-0.004788918928666549,-0.0005159378051757812,0.004222488403320314,-0.004792300137606534,-0.0005388259887695312,0.004248332977294923,-3.3812089399857954e-06,0.0,2.0694732666015628e-05
B,2,ss2d_output,native,44,3229,653,-12.56446396220814,-12.592053890228271,-12.18321418762207,-12.564460580999201,-12.592049598693848,-12.18320960998535,-12.566211852160366,-12.593400001525879,-12.184985876083374,-0.0017512711611661043,-0.0011620521545410156,-1.1825561523437451e-05,-0.0017478899522261186,-0.0011610984802246094,-5.722045898437446e-06,3.3812089399857954e-06,3.337860107421875e-06,9.393692016601564e-06
B,2,stage_logits_pre_blur,native,44,3229,653,-17.808307344263252,-18.243977546691895,-13.91250205039978,-17.80844538862055,-18.243871688842773,-13.912640714645384,-18.68707195195285,-19.145560264587402,-16.997460174560548,-0.8786265633322976,-0.5828094482421875,-0.0001599311828613266,-0.8787646076895974,-0.5831089019775391,-0.0009559631347656249,-0.0001380443572998047,-0.00012111663818359375,0.0004965782165527345
B,2,stage_logits_post_blur,native,44,3229,653,-16.778903245925903,-16.736984252929688,-13.777084636688231,-16.77912118218162,-16.73737621307373,-13.77710380554199,-18.74475604837591,-19.03025531768799,-17.281191444396974,-1.9656348661942915,-2.018254280090332,-0.007360363006591792,-1.9658528024500066,-2.0184450149536133,-0.007210636138916009,-0.0002179362557151101,-0.00013446807861328125,0.00037078857421875
B,2,stage_map_post_resize,full,44,3229,653,-16.483210520310834,-16.30262279510498,-13.493113565444945,-16.483477115631104,-16.30290985107422,-13.49336438179016,-18.718174522573296,-18.99309730529785,-17.220722007751466,-2.2346974069421943,-2.3621268272399902,-0.010297966003417968,-2.2349640022624624,-2.362255573272705,-0.010237598419189451,-0.0002665953202681108,-0.00021982192993164062,0.0002752304077148439
