point,cohort,stage,resolution,zero_near_count,zero_near_mean,zero_near_median,zero_near_p90,zero_near_p95,zero_near_p99,zero_far_count,zero_far_mean,zero_far_median,zero_far_p90,zero_far_p95,zero_far_p99,partial_count,partial_mean,partial_median,partial_p90,partial_p95,partial_p99,full_count,full_mean,full_median,full_p90,full_p95,full_p99,zero_near_vs_zero_far_auroc,anomaly_partial_vs_zero_near_auroc
stage2_map_post_resize,A,2,full,2648,-13.0644615129427,-14.157525062561035,-2.7374932765960684,0.32013743817806317,2.9617778873443674,25626900,-19.230979593064134,-19.300094604492188,-19.180831909179688,-19.157123565673828,-17.400131187438973,118188,-10.37609842349164,-11.486592769622803,1.3300647735595705,4.490713047981259,9.44721067428592,11368,-4.728934742610595,-16.770506858825684,14.523740673065186,16.135136127471924,17.390341567993165,0.7986002773529524,0.20399972574895395
stage2_map_post_resize,B,2,full,3170,-8.840046571000634,-9.878071784973145,1.5707196950912472,3.0023872256278974,5.710213456153866,25597370,-19.205542664854814,-19.29746437072754,-19.17929458618164,-19.15103530883789,-16.367168369293246,141904,-5.70046164864841,-5.75368332862854,5.516866207122799,8.446489429473878,12.849367990493777,16660,4.298640589164302,7.499480247497559,14.140811920166016,15.629343557357787,17.0375696182251,0.9666117145236736,0.038384128877426274
stage3_frozen_patch,A,3,native,2708,-8.355166890453464,-8.626686096191406,-7.839642000198364,-6.547230529785155,-2.389427654743215,128055,-8.55944630524414,-8.613752365112305,-8.075378036499023,-7.905048751831055,-7.6553729724884105,603,-4.965284379214592,-7.662409782409668,1.5123609066009558,2.0591305255889893,3.1061651515960693,58,-5.405065858929322,-6.88686466217041,-0.10050366073846652,0.7764617145061492,2.161830948591232,0.5132242599436969,0.4881793069774988
stage3_frozen_patch,B,3,native,3229,-8.167606971982593,-8.593250274658203,-6.846180629730224,-4.998983001708985,-1.1726791906356837,127386,-8.560532996221927,-8.615490913391113,-8.06956434249878,-7.906169176101685,-7.674962162971499,724,-4.046567600539459,-4.456772089004517,1.3829731583595284,2.1122321367263797,3.7237729597091676,85,-2.4584558844566344,-1.3562434911727905,1.9210262775421163,2.36707329750061,4.221452770233154,0.5243638192314551,0.47830379443678095
stage3_convlora_raw,A,3,native,2708,-7.686258775620904,-7.7797229290008545,-7.044378185272216,-6.920976066589355,-6.50390352725983,128055,-7.64065560829234,-7.7116851806640625,-7.02414608001709,-6.891408920288086,-6.6960717010498065,603,-7.389745240583151,-7.682902812957764,-6.308767890930175,-5.118219518661499,-3.519796409606933,58,-7.199555602566949,-7.895936965942383,-5.4933481216430655,-5.011804080009461,-3.880247497558594,0.4561919205691194,0.5439647041023918
stage3_convlora_raw,B,3,native,3229,-7.650008515331095,-7.793025493621826,-7.017261028289795,-6.880403709411622,-5.387460327148446,127386,-7.639267503455361,-7.700357913970947,-7.027178049087524,-6.879462838172913,-6.6833244323730465,724,-7.010920233818707,-7.384571552276611,-4.800243234634399,-3.7338053584098816,-2.8655923151969915,85,-5.691794929784887,-5.720364570617676,-3.2290302276611325,-2.813345003128052,-2.1885393714904797,0.46658222655490555,0.5344504887842922
stage3_post_convlora,A,3,native,2708,-8.288239398654797,-8.451171398162842,-7.886724758148193,-7.743303894996643,-2.004591274261496,128055,-8.42155007244874,-8.437499046325684,-7.94010648727417,-7.853882646560669,-7.771477565765381,603,-4.925048422185738,-8.040264129638672,1.817903709411621,2.599347352981567,3.4711006927490247,58,-5.119107743275577,-7.942646026611328,0.3042022019624712,0.6380984872579563,2.26052792429924,0.4918912343621737,0.5092215521539929
stage3_post_convlora,B,3,native,3229,-8.184573934529729,-8.449317932128906,-7.827343845367431,-5.926584339141849,-0.4910990715026885,127386,-8.424092588133616,-8.4416184425354,-7.934808969497681,-7.857346534729004,-7.784006023406983,724,-4.154320185736481,-5.129816770553589,1.3997608661651615,2.345605134963993,3.760025217533111,85,-1.909098095578306,-0.2637275457382202,1.8796788215637208,2.4419847488403317,3.24596927642822,0.47970059246483127,0.5222662504678584
stage3_post_seg_projection,A,3,native,2708,-8.288275181839966,-8.451189994812012,-7.886792516708374,-7.743440580368042,-2.005514204502127,128055,-8.42159911058417,-8.43753433227539,-7.940255451202392,-7.853941297531128,-7.771461877822876,603,-4.925047042802792,-8.04025650024414,1.8172682046890258,2.599166631698608,3.4710832595825205,58,-5.119152911778154,-7.943102121353149,0.3038451224565508,0.6377977579832065,2.260647940635681,0.49190407129229863,0.5092087598208226
stage3_post_seg_projection,B,3,native,3229,-8.184615907395134,-8.449446678161621,-7.827472877502441,-5.927274513244631,-0.491377475261691,127386,-8.424140818805668,-8.441646099090576,-7.934880018234253,-7.85741126537323,-7.783887362480164,724,-4.154355267803725,-5.130420207977295,1.3996673226356509,2.345448863506321,3.7600858783721915,85,-1.9090857993153965,-0.2638337016105652,1.879816746711731,2.442105388641357,3.245680036544797,0.4797104714087124,0.5222564855234518
stage3_dfg_input,A,3,native,2708,-8.288275181839966,-8.451189994812012,-7.886792516708374,-7.743440580368042,-2.005514204502127,128055,-8.42159911058417,-8.43753433227539,-7.940255451202392,-7.853941297531128,-7.771461877822876,603,-4.925047042802792,-8.04025650024414,1.8172682046890258,2.599166631698608,3.4710832595825205,58,-5.119152911778154,-7.943102121353149,0.3038451224565508,0.6377977579832065,2.260647940635681,0.49190407129229863,0.5092087598208226
stage3_dfg_input,B,3,native,3229,-8.184615907395134,-8.449446678161621,-7.827472877502441,-5.927274513244631,-0.491377475261691,127386,-8.424140818805668,-8.441646099090576,-7.934880018234253,-7.85741126537323,-7.783887362480164,724,-4.154355267803725,-5.130420207977295,1.3996673226356509,2.345448863506321,3.7600858783721915,85,-1.9090857993153965,-0.2638337016105652,1.879816746711731,2.442105388641357,3.245680036544797,0.4797104714087124,0.5222564855234518
stage3_dfg_qk_compatibility,A,3,global,3055,-11.005071092471358,-10.984375,-10.3359375,-10.296875,-10.2890625,128107,-11.06683371859071,-11.171875,-10.796875,-10.296875,-10.296875,0,,,,,,0,,,,,,0.5469224880894049,0.45326091381485545
stage3_dfg_qk_compatibility,B,3,global,3670,-11.053299557220708,-11.1953125,-10.7890625,-10.328125,-10.3046875,127419,-11.066864230903555,-11.1171875,-10.7890625,-10.3046875,-10.3046875,0,,,,,,0,,,,,,0.5172708085553438,0.48280637080144534
stage3_ss2d_input,A,3,global,3055,-8.515746061384386,-8.526278495788574,-8.021836280822754,-7.88872766494751,-7.886409759521484,128107,-8.475831235782158,-8.502643585205078,-8.02415657043457,-7.886409759521484,-7.867631912231445,0,,,,,,0,,,,,,0.4571842620256438,0.5427088916223879
stage3_ss2d_input,B,3,global,3670,-8.565963035188513,-8.55515193939209,-8.059764862060547,-7.889863967895508,-7.8863725662231445,127419,-8.482790419138514,-8.494244575500488,-8.014683723449707,-7.8863725662231445,-7.875881195068359,0,,,,,,0,,,,,,0.41845132986446293,0.5812160645593611
stage3_ss2d_output,A,3,global,3055,3.966251215333829,4.056107044219971,4.314101696014404,4.31535530090332,4.321115970611572,128107,3.9422094609635465,4.006957530975342,4.273343563079834,4.313021659851074,4.321115970611572,0,,,,,,0,,,,,,0.5539306078489498,0.44627047240132556
stage3_ss2d_output,B,3,global,3670,3.9693866435448544,4.057982444763184,4.3195600509643555,4.3195600509643555,4.320603370666504,127419,3.942646606370452,4.003303050994873,4.274291038513184,4.312422275543213,4.3195600509643555,0,,,,,,0,,,,,,0.565136630156642,0.4351614621748994
