ap,arm,auroc,count,difference_l2,linear_cka_to_e1,mean,median,metric,p95,p99,parameter_count,pooled_feature_cosine_to_e1_mean,pooled_feature_cosine_to_e1_median,record,reference_l2,relative_l2,stage,value
,A_GRADBUDGET_SHORT_R1_CONTROL,,,,,,,raw_ratio_median,,,,,,gradient_telemetry,,,,1.0716114624430388
,A_GRADBUDGET_SHORT_R1_CANDIDATE,,,,,,,activity_fraction,,,,,,gradient_telemetry,,,,0.58
,A_GRADBUDGET_SHORT_R1_CANDIDATE,,,,,,,alpha_median,,,,,,gradient_telemetry,,,,0.9786697100322713
,A_GRADBUDGET_SHORT_R1_CANDIDATE,,,,,,,raw_ratio_median,,,,,,gradient_telemetry,,,,1.0217962310673046
,GATES,,,,,,,activity_fraction_gt_zero,,,,,,direct_gate,,,,True
,GATES,,,,,,,effective_abnormal_rest_lower_than_raw_when_alpha_lt_one,,,,,,direct_gate,,,,True
,GATES,,,,,,,late_stage2_plus_stage3_convlora_drift_lower_than_control,,,,,,direct_gate,,,,False
,GATES,,,,,,,stage1_outside_selected_scope,,,,,,direct_gate,,,,True
,GATES,,,,,,,numerical_validity,,,,,,scientific_gate,,,,False
,GATES,,,,,,,batch_identity,,,,,,scientific_gate,,,,True
,GATES,,,,,,,mechanism_activity,,,,,,scientific_gate,,,,True
,GATES,,,,,,,late_drift_reduced,,,,,,scientific_gate,,,,False
,GATES,,,,,,,final_ap_not_below_control,,,,,,scientific_gate,,,,True
,GATES,,,,,,,final_auroc_not_below_control,,,,,,scientific_gate,,,,False
,GATES,,,,,,,positive_mean_not_below_control,,,,,,scientific_gate,,,,True
,GATES,,,,,,,positive_median_not_below_control,,,,,,scientific_gate,,,,False
,GATES,,,,,,,interior_mean_not_below_control,,,,,,scientific_gate,,,,True
,GATES,,,,,,,interior_median_not_below_control,,,,,,scientific_gate,,,,True
,GATES,,,,,,,near_background_p95_not_above_control,,,,,,scientific_gate,,,,False
,GATES,,,,,,,near_background_p99_not_above_control,,,,,,scientific_gate,,,,False
,GATES,,,,,,,stage1_ap_not_below_control,,,,,,scientific_gate,,,,True
,GATES,,,,,,,stage1_auroc_not_below_control,,,,,,scientific_gate,,,,False
