arm,background_count,category,far_background_count,file_name,near_background_count,near_background_fraction_of_background,top_background_1pct_count,top_background_1pct_far_fraction,top_background_1pct_near_fraction,top_background_1pct_near_score_mass_fraction
A_LATE_CONVLORA_FREEZE_R1,267455,pcb2,266777,pcb2/Data/Images/Anomaly/029.JPG,678,0.0025350058888411135,2675,0.7536448598130842,0.2463551401869159,0.7547404170036316
A_LATE_CONVLORA_FREEZE_R1,267773,pcb2,267107,pcb2/Data/Images/Anomaly/012.JPG,666,0.002487181306554432,2678,0.8734129947722181,0.12658700522778193,0.149616077542305
A_LATE_CONVLORA_FREEZE_R1,267825,chewinggum,267123,chewinggum/Data/Images/Anomaly/034.JPG,702,0.0026211145337440493,2679,0.8831653602090332,0.11683463979096678,0.13949152827262878
A_LATE_CONVLORA_FREEZE_R1,268238,chewinggum,267482,chewinggum/Data/Images/Anomaly/072.JPG,756,0.002818392621477941,2683,0.7670518076779724,0.23294819232202757,0.3436845541000366
A_LATE_CONVLORA_FREEZE_R1,263552,chewinggum,261100,chewinggum/Data/Images/Anomaly/021.JPG,2452,0.009303666828557553,2636,0.5273141122913505,0.47268588770864944,0.7937488555908203
A_LATE_CONVLORA_FREEZE_R1,267385,chewinggum,266550,chewinggum/Data/Images/Anomaly/091.JPG,835,0.003122837855526675,2674,0.8343305908750935,0.16566940912490652,0.7939144968986511
A_LATE_CONVLORA_FREEZE_R1,268232,macaroni1,268064,macaroni1/Data/Images/Anomaly/037.JPG,168,0.0006263234811655582,2683,0.937383525903839,0.06261647409616102,0.363800048828125
A_LATE_CONVLORA_FREEZE_R1,268201,macaroni1,267438,macaroni1/Data/Images/Anomaly/073.JPG,763,0.002844881264424816,2683,0.7841967946328736,0.21580320536712636,0.5287520885467529
A_LATE_CONVLORA_FREEZE_R1,268095,macaroni1,267819,macaroni1/Data/Images/Anomaly/065.JPG,276,0.0010294858165948637,2681,0.897053338306602,0.10294666169339799,0.6111744046211243
A_LATE_CONVLORA_FREEZE_R1,268129,macaroni1,267875,macaroni1/Data/Images/Anomaly/052.JPG,254,0.0009473052150270952,2682,0.9052945563012678,0.0947054436987323,0.47086796164512634
A_LATE_CONVLORA_FREEZE_R1,267904,cashew,267518,cashew/Data/Images/Anomaly/004.JPG,386,0.0014408146201624462,2680,0.8559701492537314,0.14402985074626865,0.6798271536827087
A_LATE_CONVLORA_FREEZE_R1,268267,cashew,268049,cashew/Data/Images/Anomaly/062.JPG,218,0.0008126232447524295,2683,0.9187476705180768,0.08125232948192322,0.20261003077030182
A_LATE_CONVLORA_FREEZE_R1,267090,cashew,265460,cashew/Data/Images/Anomaly/092.JPG,1630,0.006102811786289266,2671,0.9786596780232123,0.02134032197678772,0.016380324959754944
A_LATE_CONVLORA_FREEZE_R1,267688,cashew,267286,cashew/Data/Images/Anomaly/016.JPG,402,0.0015017483039956965,2677,0.8498319013821442,0.15016809861785582,0.7671961188316345
A_LATE_CONVLORA_FREEZE_R1,268276,fryum,268072,fryum/Data/Images/Anomaly/026.JPG,204,0.0007604109200972134,2683,0.9239657100260902,0.0760342899739098,0.3583488166332245
A_LATE_CONVLORA_FREEZE_R1,268298,fryum,268184,fryum/Data/Images/Anomaly/033.JPG,114,0.0004249006701503552,2683,0.9575102497204622,0.04248975027953783,0.26159247756004333
