target,epoch,method,alpha,n_images,target_count,image_metric_support,pixel_auroc,pixel_ap,image_auroc,image_ap,checkpoint_sha256,config_sha256,evaluator_git_sha,evaluator_sha256,source,status
Brain,12,A0,,3715,,,0.9377691931832263,0.29202271160764554,0.8054197154471545,0.9460910506719351,bbbbfc6e24ac9dd1bfa87b596e3f6fe17a1b06cee6f5d4522ef67c4147a7e2f9,064e8acd4369645f631030b5d60abf8615e878b50e9caff6a4a8b2439b64f81c,617eccb26d869c72c46046f586cd957e4e7301ed,cbcfaf4b2eda645fc6b440ed9bb486b5fb6b6f3af908e1c0ec70bafe13db0797,new_anchor_checkpoint,COMPLETE
Brain,12,A05,0.5,3715,,,0.9377317718207612,0.2919901117306472,0.8054504573170732,0.9461007424442274,bbbbfc6e24ac9dd1bfa87b596e3f6fe17a1b06cee6f5d4522ef67c4147a7e2f9,064e8acd4369645f631030b5d60abf8615e878b50e9caff6a4a8b2439b64f81c,617eccb26d869c72c46046f586cd957e4e7301ed,cbcfaf4b2eda645fc6b440ed9bb486b5fb6b6f3af908e1c0ec70bafe13db0797,new_anchor_checkpoint,COMPLETE
Liver,12,P,,1493,1,1,0.9475832775594345,0.0399293448751651,0.6308869002146313,0.5192465351463667,6a531e91ce77d84d1baf4493183de2f09a0e4124f996986f862c2ea3b32d9bac,064e8acd4369645f631030b5d60abf8615e878b50e9caff6a4a8b2439b64f81c,042174cdc63d9cb635566a1dae5b774056045383,cbcfaf4b2eda645fc6b440ed9bb486b5fb6b6f3af908e1c0ec70bafe13db0797,frozen_corrected_medical_decomposition.csv,COMPLETE
Liver,12,C_OLD_0,,1493,1,1,0.9722265555782696,0.0985087560289694,0.582507548473935,0.4827123311944729,32ea4b7083a6727fe217e22dec33b622900d2ea6f0e5193fe795d342fd81abfb,064e8acd4369645f631030b5d60abf8615e878b50e9caff6a4a8b2439b64f81c,042174cdc63d9cb635566a1dae5b774056045383,cbcfaf4b2eda645fc6b440ed9bb486b5fb6b6f3af908e1c0ec70bafe13db0797,frozen_corrected_medical_decomposition.csv,COMPLETE
Liver,12,C_OLD_05,0.5,1493,1,1,0.97220343032325,0.0984871765524783,0.5824929971988796,0.4827000072195677,32ea4b7083a6727fe217e22dec33b622900d2ea6f0e5193fe795d342fd81abfb,064e8acd4369645f631030b5d60abf8615e878b50e9caff6a4a8b2439b64f81c,042174cdc63d9cb635566a1dae5b774056045383,cbcfaf4b2eda645fc6b440ed9bb486b5fb6b6f3af908e1c0ec70bafe13db0797,frozen_corrected_medical_decomposition.csv,COMPLETE
Liver,12,A0,,1493,,,0.9517330883399017,0.03822270569783547,0.5960820691913129,0.491763033442829,bbbbfc6e24ac9dd1bfa87b596e3f6fe17a1b06cee6f5d4522ef67c4147a7e2f9,064e8acd4369645f631030b5d60abf8615e878b50e9caff6a4a8b2439b64f81c,617eccb26d869c72c46046f586cd957e4e7301ed,cbcfaf4b2eda645fc6b440ed9bb486b5fb6b6f3af908e1c0ec70bafe13db0797,new_anchor_checkpoint,COMPLETE
Liver,12,A05,0.5,1493,,,0.9516853096605343,0.03820070881595508,0.5960929826476045,0.49178692188830964,bbbbfc6e24ac9dd1bfa87b596e3f6fe17a1b06cee6f5d4522ef67c4147a7e2f9,064e8acd4369645f631030b5d60abf8615e878b50e9caff6a4a8b2439b64f81c,617eccb26d869c72c46046f586cd957e4e7301ed,cbcfaf4b2eda645fc6b440ed9bb486b5fb6b6f3af908e1c0ec70bafe13db0797,new_anchor_checkpoint,COMPLETE
Retina,12,P,,1805,1,1,0.9110529862881778,0.4000384302241119,0.7183965277044324,0.7283748734186666,6a531e91ce77d84d1baf4493183de2f09a0e4124f996986f862c2ea3b32d9bac,064e8acd4369645f631030b5d60abf8615e878b50e9caff6a4a8b2439b64f81c,042174cdc63d9cb635566a1dae5b774056045383,cbcfaf4b2eda645fc6b440ed9bb486b5fb6b6f3af908e1c0ec70bafe13db0797,frozen_corrected_medical_decomposition.csv,COMPLETE
Retina,12,C_OLD_0,,1805,1,1,0.8665723075748577,0.32193057332697983,0.7497435007619536,0.7458232132722863,32ea4b7083a6727fe217e22dec33b622900d2ea6f0e5193fe795d342fd81abfb,064e8acd4369645f631030b5d60abf8615e878b50e9caff6a4a8b2439b64f81c,042174cdc63d9cb635566a1dae5b774056045383,cbcfaf4b2eda645fc6b440ed9bb486b5fb6b6f3af908e1c0ec70bafe13db0797,frozen_corrected_medical_decomposition.csv,COMPLETE
Retina,12,C_OLD_05,0.5,1805,1,1,0.8662731492641248,0.32153476689590554,0.7497435007619536,0.7457989124521781,32ea4b7083a6727fe217e22dec33b622900d2ea6f0e5193fe795d342fd81abfb,064e8acd4369645f631030b5d60abf8615e878b50e9caff6a4a8b2439b64f81c,042174cdc63d9cb635566a1dae5b774056045383,cbcfaf4b2eda645fc6b440ed9bb486b5fb6b6f3af908e1c0ec70bafe13db0797,frozen_corrected_medical_decomposition.csv,COMPLETE
