lineage,method,epoch,target,pixel_auroc,pixel_ap,image_auroc,image_ap,evaluator_sha256,evaluator_git_sha,checkpoint_sha256,config_sha256,selection_rule,comparability,source
A0,A0,12,Retina,0.9314499132775512,0.39064672818886254,0.8315768164923981,0.7998809803466937,cbcfaf4b2eda645fc6b440ed9bb486b5fb6b6f3af908e1c0ec70bafe13db0797,1564a0c9f32a7e93fb333ca8b0950a2fb2c73cc2,A0_E12_SHA_IN_FINAL_MATRIX,064e8acd4369645f631030b5d60abf8615e878b50e9caff6a4a8b2439b64f81c,max current A0 pixel AP among frozen candidates,SAME_EVALUATOR_SOURCE_HASH; legacy bridge bypass recorded where applicable,/home/ai4/caohuy/ACD-CLIP-cir-dfg-rmt-v2/research_artifacts/cir_rmt_v2/final_extension_anchor_e20_20260831/FINAL_MEDICAL_MATRIX.csv
A0,A0,12,Colon_clinicDB,0.8734471856314221,0.4865993976609125,,,cbcfaf4b2eda645fc6b440ed9bb486b5fb6b6f3af908e1c0ec70bafe13db0797,1564a0c9f32a7e93fb333ca8b0950a2fb2c73cc2,A0_E12_SHA_IN_FINAL_MATRIX,064e8acd4369645f631030b5d60abf8615e878b50e9caff6a4a8b2439b64f81c,max current A0 pixel AP among frozen candidates,SAME_EVALUATOR_SOURCE_HASH; legacy bridge bypass recorded where applicable,/home/ai4/caohuy/ACD-CLIP-cir-dfg-rmt-v2/research_artifacts/cir_rmt_v2/final_extension_anchor_e20_20260831/FINAL_MEDICAL_MATRIX.csv
A0,A0,12,Colon_colonDB,0.8282146448253072,0.28314480154084076,,,cbcfaf4b2eda645fc6b440ed9bb486b5fb6b6f3af908e1c0ec70bafe13db0797,1564a0c9f32a7e93fb333ca8b0950a2fb2c73cc2,A0_E12_SHA_IN_FINAL_MATRIX,064e8acd4369645f631030b5d60abf8615e878b50e9caff6a4a8b2439b64f81c,max current A0 pixel AP among frozen candidates,SAME_EVALUATOR_SOURCE_HASH; legacy bridge bypass recorded where applicable,/home/ai4/caohuy/ACD-CLIP-cir-dfg-rmt-v2/research_artifacts/cir_rmt_v2/final_extension_anchor_e20_20260831/FINAL_MEDICAL_MATRIX.csv
A0,A0,12,Colon_Kvasir,0.8560330162364965,0.5423175559667341,,,cbcfaf4b2eda645fc6b440ed9bb486b5fb6b6f3af908e1c0ec70bafe13db0797,1564a0c9f32a7e93fb333ca8b0950a2fb2c73cc2,A0_E12_SHA_IN_FINAL_MATRIX,064e8acd4369645f631030b5d60abf8615e878b50e9caff6a4a8b2439b64f81c,max current A0 pixel AP among frozen candidates,SAME_EVALUATOR_SOURCE_HASH; legacy bridge bypass recorded where applicable,/home/ai4/caohuy/ACD-CLIP-cir-dfg-rmt-v2/research_artifacts/cir_rmt_v2/final_extension_anchor_e20_20260831/FINAL_MEDICAL_MATRIX.csv
A0,A0,12,ALL_MEDICAL_MACRO,0.8964411735823176,0.33882565011047183,0.7443595337102885,0.7459116881538194,cbcfaf4b2eda645fc6b440ed9bb486b5fb6b6f3af908e1c0ec70bafe13db0797,1564a0c9f32a7e93fb333ca8b0950a2fb2c73cc2,A0_E12_SHA_IN_FINAL_MATRIX,064e8acd4369645f631030b5d60abf8615e878b50e9caff6a4a8b2439b64f81c,max current A0 pixel AP among frozen candidates,same evaluator implementation hash; historical selection provenance remains separate,/home/ai4/caohuy/ACD-CLIP-cir-dfg-rmt-v2/research_artifacts/cir_rmt_v2/final_extension_anchor_e20_20260831/FINAL_MEDICAL_MATRIX.csv
PA,PA,12,Brain,0.9405131183925947,0.320277147259976,0.800849593495935,0.9390840325977337,cbcfaf4b2eda645fc6b440ed9bb486b5fb6b6f3af908e1c0ec70bafe13db0797,0987f67e92020e74cdae65e51b8a8676e08f3c84,PA_E12_SHA_IN_PA_RESULTS,d24cf942684b0be3c12838699ec6fe452697bd7f0a58eabbf316fb79b1b18cdb,max PA pixel AP among frozen candidates,SAME_EVALUATOR_SOURCE_HASH; legacy bridge bypass recorded where applicable,/home/ai4/caohuy/ACD-CLIP-cir-dfg-rmt-v2/research_artifacts/cir_rmt_v2/pa_control_20260831/PA_MEDICAL_RESULTS.csv
PA,PA,12,Liver,0.967259269592791,0.05885820417328568,0.6119284077267271,0.48001826489880794,cbcfaf4b2eda645fc6b440ed9bb486b5fb6b6f3af908e1c0ec70bafe13db0797,0987f67e92020e74cdae65e51b8a8676e08f3c84,PA_E12_SHA_IN_PA_RESULTS,d24cf942684b0be3c12838699ec6fe452697bd7f0a58eabbf316fb79b1b18cdb,max PA pixel AP among frozen candidates,SAME_EVALUATOR_SOURCE_HASH; legacy bridge bypass recorded where applicable,/home/ai4/caohuy/ACD-CLIP-cir-dfg-rmt-v2/research_artifacts/cir_rmt_v2/pa_control_20260831/PA_MEDICAL_RESULTS.csv
PA,PA,12,Retina,0.9299485902560347,0.3898361948813842,0.742263530334807,0.7243127390914007,cbcfaf4b2eda645fc6b440ed9bb486b5fb6b6f3af908e1c0ec70bafe13db0797,0987f67e92020e74cdae65e51b8a8676e08f3c84,PA_E12_SHA_IN_PA_RESULTS,d24cf942684b0be3c12838699ec6fe452697bd7f0a58eabbf316fb79b1b18cdb,max PA pixel AP among frozen candidates,SAME_EVALUATOR_SOURCE_HASH; legacy bridge bypass recorded where applicable,/home/ai4/caohuy/ACD-CLIP-cir-dfg-rmt-v2/research_artifacts/cir_rmt_v2/pa_control_20260831/PA_MEDICAL_RESULTS.csv
PA,PA,12,Colon_clinicDB,0.8753871166262861,0.4760405826069245,,,cbcfaf4b2eda645fc6b440ed9bb486b5fb6b6f3af908e1c0ec70bafe13db0797,0987f67e92020e74cdae65e51b8a8676e08f3c84,PA_E12_SHA_IN_PA_RESULTS,d24cf942684b0be3c12838699ec6fe452697bd7f0a58eabbf316fb79b1b18cdb,max PA pixel AP among frozen candidates,SAME_EVALUATOR_SOURCE_HASH; legacy bridge bypass recorded where applicable,/home/ai4/caohuy/ACD-CLIP-cir-dfg-rmt-v2/research_artifacts/cir_rmt_v2/pa_control_20260831/PA_MEDICAL_RESULTS.csv
PA,PA,12,Colon_colonDB,0.8485925379759542,0.31301177906011424,,,cbcfaf4b2eda645fc6b440ed9bb486b5fb6b6f3af908e1c0ec70bafe13db0797,0987f67e92020e74cdae65e51b8a8676e08f3c84,PA_E12_SHA_IN_PA_RESULTS,d24cf942684b0be3c12838699ec6fe452697bd7f0a58eabbf316fb79b1b18cdb,max PA pixel AP among frozen candidates,SAME_EVALUATOR_SOURCE_HASH; legacy bridge bypass recorded where applicable,/home/ai4/caohuy/ACD-CLIP-cir-dfg-rmt-v2/research_artifacts/cir_rmt_v2/pa_control_20260831/PA_MEDICAL_RESULTS.csv
PA,PA,12,Colon_Kvasir,0.8566202538393571,0.5270731278568294,,,cbcfaf4b2eda645fc6b440ed9bb486b5fb6b6f3af908e1c0ec70bafe13db0797,0987f67e92020e74cdae65e51b8a8676e08f3c84,PA_E12_SHA_IN_PA_RESULTS,d24cf942684b0be3c12838699ec6fe452697bd7f0a58eabbf316fb79b1b18cdb,max PA pixel AP among frozen candidates,SAME_EVALUATOR_SOURCE_HASH; legacy bridge bypass recorded where applicable,/home/ai4/caohuy/ACD-CLIP-cir-dfg-rmt-v2/research_artifacts/cir_rmt_v2/pa_control_20260831/PA_MEDICAL_RESULTS.csv
