class,outer_fold,family,config_id,matched_win,b1_matched_win,delta_vs_b1,aligned_minus_shifted,C_AP_delta,R_pos_delta,R_neg_delta,pixel_auroc,pixel_ap
hazelnut,FOLD_1,ASR,asr_energy_95_median,0.5753312612465238,0.5327989530508752,0.04253230819564857,0.06723376410927528,-0.006628961428511144,-0.015781777614264438,-0.01467434838281863,0.8659965201664812,0.14028210057099086
leather,FOLD_2,ASR,asr_energy_99_median,0.6519350215002389,0.8115145723841376,-0.15957955088389875,0.14667940754897268,-0.022544421152092667,-0.03912498077020467,-0.0660947157020764,0.9366023045158788,0.4325646665818061
metal_nut,FOLD_2,ASR,asr_energy_99_median,0.6941723892078502,0.7071099697889475,-0.012937580581097285,0.25771365982793787,0.007834532871092106,0.046776211252148744,-0.00642626736957767,0.7392890654382465,0.28538833551630727
pill,FOLD_2,ASR,asr_energy_99_median,0.6135229423820028,0.537298644681195,0.07622429770080774,0.1309585269316813,0.008200687649627267,0.024001666742385692,-0.015309155800568016,0.7595048317725319,0.2537474750466868
tile,FOLD_3,ASR,asr_energy_95_median,0.5539915333432059,0.5763250215751659,-0.022333488231959908,0.031678471303752787,-0.0027355246310377668,0.013742919817174949,-0.011313180004983717,0.7227857122043218,0.24862022616430868
screw,FOLD_3,ASR,asr_energy_95_median,0.5189542483660131,0.5535947712418301,-0.03464052287581698,0.01764705882352946,-0.006611246136149898,-0.029654840915487996,-0.011691303437286457,0.9646868771860201,0.16331991970098814
transistor,FOLD_3,ASR,asr_energy_95_median,0.5520314567601498,0.47885226557286814,0.07317919118728161,0.059950311589312855,0.006389775856149995,0.02915087942123367,-0.012028450647920227,0.5769825408625976,0.07115655542809202
wood,FOLD_4,ASR,asr_energy_95_median,0.6352154322725992,0.6733032948465221,-0.038087862573922826,0.1535623767952689,-0.017742235392239743,0.011762502952866849,-0.030781527009929085,0.7899628531762536,0.19333605947661986
toothbrush,FOLD_4,ASR,asr_energy_95_median,0.7145429986492571,0.7442593426384512,-0.029716343989194094,0.22467357046375502,-0.012955150112017814,-0.02261839148549355,-0.00997400345726709,0.8661018200542,0.12931002735177985
zipper,FOLD_4,ASR,asr_energy_95_median,0.5584547381714853,0.5514260370153203,0.00702870115616494,0.05541022055838707,-0.03746872834614044,0.0008720597587001735,-0.04930243988363823,0.7990375429294408,0.1023957650453539
carpet,FOLD_0,PGM,pgm_max_whitened_mean,0.8824148824148824,0.8438828438828438,0.03853203853203857,0.42077142077142077,0.0001994169850331462,0.046035007238227496,-0.028346202671139825,0.9851412617954498,0.6888892252054573
bottle,FOLD_0,PGM,pgm_max_whitened_mean,0.6356496661116166,0.5238099325356634,0.11183973357595312,0.20920810945359036,0.0025367543395316446,0.00833182201523898,-0.02461861783984036,0.8858800038324298,0.4950994766408451
cable,FOLD_0,PGM,pgm_max_whitened_mean,0.6568149069215196,0.3202644892242637,0.33655041769725585,0.21892184280577637,0.03744194722422998,0.05976186719620455,-0.006846903052225399,0.7849274880343177,0.09866314957131761
