epoch,method,metric,value,checkpoint_sha256,source
20,PA,pearson_sample,0.696870704987186,22c44a28f6dd88c59525fa9699249acb2744f4c23c7d69f8bd882311d52837ee,new_PA_checkpoint
20,PA,mae,0.0013708490878343582,22c44a28f6dd88c59525fa9699249acb2744f4c23c7d69f8bd882311d52837ee,new_PA_checkpoint
20,PA,max_abs_change,0.9999951720237732,22c44a28f6dd88c59525fa9699249acb2744f4c23c7d69f8bd882311d52837ee,new_PA_checkpoint
20,PA,deployed_minus_raw_pixel_ap,-0.06531693981772613,22c44a28f6dd88c59525fa9699249acb2744f4c23c7d69f8bd882311d52837ee,new_PA_checkpoint
20,PA,normal_raw_p99,5.248595513762666e-08,22c44a28f6dd88c59525fa9699249acb2744f4c23c7d69f8bd882311d52837ee,new_PA_checkpoint
20,PA,normal_deployed_p99,2.721274228179027e-08,22c44a28f6dd88c59525fa9699249acb2744f4c23c7d69f8bd882311d52837ee,new_PA_checkpoint
20,PA,normal_raw_p99.9,7.792508540660492e-07,22c44a28f6dd88c59525fa9699249acb2744f4c23c7d69f8bd882311d52837ee,new_PA_checkpoint
20,PA,normal_deployed_p99.9,9.990495897227447e-08,22c44a28f6dd88c59525fa9699249acb2744f4c23c7d69f8bd882311d52837ee,new_PA_checkpoint
20,PA,anomaly_raw_p50,3.4329652454090365e-09,22c44a28f6dd88c59525fa9699249acb2744f4c23c7d69f8bd882311d52837ee,new_PA_checkpoint
20,PA,anomaly_deployed_p50,3.6644651757455904e-09,22c44a28f6dd88c59525fa9699249acb2744f4c23c7d69f8bd882311d52837ee,new_PA_checkpoint
20,PA,anomaly_raw_p90,1.3334226878214395e-07,22c44a28f6dd88c59525fa9699249acb2744f4c23c7d69f8bd882311d52837ee,new_PA_checkpoint
20,PA,anomaly_deployed_p90,1.5626174842964247e-07,22c44a28f6dd88c59525fa9699249acb2744f4c23c7d69f8bd882311d52837ee,new_PA_checkpoint
